iter	Passed	Remaining
0	1	152
1	2	140
2	6	196
3	7	181
4	8	167
5	9	156
6	11	148
7	12	142
8	13	136
9	14	133
10	15	128
11	17	126
12	18	125
13	22	140
14	24	137
15	25	135
16	27	132
17	28	130
18	29	126
19	31	124
20	32	122
21	34	120
22	37	125
23	38	123
24	40	120
25	41	118
26	42	115
27	43	112
28	45	110
29	46	108
30	47	106
31	51	109
32	53	107
33	54	105
34	55	103
35	57	101
36	58	99
37	59	97
38	60	94
39	61	92
40	63	91
41	64	89
42	66	87
43	67	85
44	68	83
45	69	81
46	70	79
47	72	78
48	73	76
49	74	74
50	75	72
51	78	72
52	80	70
53	81	69
54	82	67
55	83	65
56	85	64
57	86	62
58	88	61
59	89	59
60	92	59
61	94	57
62	95	56
63	97	54
64	98	52
65	99	51
66	101	49
67	102	48
68	103	46
69	105	45
70	109	44
71	110	42
72	111	41
73	113	39
74	114	38
75	116	36
76	118	35
77	119	33
78	122	32
79	124	31
80	125	29
81	126	27
82	128	26
83	129	24
84	131	23
85	134	21
86	135	20
87	136	18
88	138	17
89	139	15
90	141	13
91	142	12
92	144	10
93	145	9
94	147	7
95	150	6
96	152	4
97	153	3
98	154	1
99	156	0
